Pclass,Fare,AgeBin,FamilySize,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Sex_male,Survived
3,-0.5024451714361923,2,2,False,True,False,True,False,False,True,False
1,0.7868452935884461,2,2,False,False,False,False,True,False,False,True
3,-0.4888542575852486,2,1,False,True,True,False,False,False,False,True
1,0.4207302360686478,2,2,False,True,False,False,True,False,False,True
3,-0.4863374216869257,2,1,False,True,False,True,False,False,True,False
3,-0.47811642890864375,2,1,True,False,False,True,False,False,True,False
1,0.395813560675251,3,1,False,True,False,True,False,False,True,False
3,-0.22408312108167944,0,5,False,True,False,False,False,False,True,False
3,-0.4242561406845337,2,3,False,True,False,False,True,False,False,True
2,-0.04295550208861426,1,2,False,False,False,False,True,False,False,True
3,-0.312172377522981,0,3,False,True,True,False,False,False,False,True
1,-0.11384570873513637,4,1,False,True,True,False,False,False,False,True
3,-0.4863374216869257,2,1,False,True,False,True,False,False,True,False
3,-0.01870931177853076,2,7,False,True,False,True,False,False,True,False
3,-0.4902797934380587,1,1,False,True,True,False,False,False,False,False
2,-0.3262666585535892,3,1,False,True,False,False,True,False,False,True
3,-0.06199888922968463,0,6,True,False,False,False,False,False,True,False
2,-0.3866707201133388,2,1,False,True,False,True,False,False,True,True
3,-0.2859972841804228,2,2,False,True,False,False,True,False,False,False
3,-0.5029485386158568,2,1,False,False,False,False,True,False,False,True
2,-0.12491978668775715,2,1,False,True,False,True,False,False,True,False
2,-0.3866707201133388,2,1,False,True,False,True,False,False,True,True
3,-0.4867562231804066,2,1,True,False,True,False,False,False,False,True
1,0.06635974158478332,2,1,False,True,False,True,False,False,True,True
3,-0.22408312108167944,0,5,False,True,True,False,False,False,False,False
3,-0.016444159470040135,2,7,False,True,False,False,True,False,False,True
3,-0.5029485386158568,2,1,False,False,False,True,False,False,True,False
1,4.647001076532463,2,6,False,True,False,True,False,False,True,False
3,-0.48977642625839407,2,1,True,False,True,False,False,False,False,True
3,-0.4894421904510968,2,1,False,True,False,True,False,False,True,False
1,-0.09027201697708476,2,1,False,False,False,False,False,True,True,False
1,2.301728820789,2,2,False,False,False,False,True,False,False,True
3,-0.49237782784290063,2,1,True,False,True,False,False,False,False,True
2,-0.43700743807979686,5,1,False,True,False,True,False,False,True,False
1,1.0060617003323709,2,2,False,False,False,True,False,False,True,False
1,0.39858208016340624,2,2,False,True,False,True,False,False,True,False
3,-0.5028639729296732,2,1,False,False,False,True,False,False,True,True
3,-0.4863374216869257,2,1,False,True,False,True,False,False,True,False
3,-0.2859972841804228,2,3,False,True,True,False,False,False,False,False
3,-0.42207354059350805,1,2,False,False,True,False,False,False,False,True
3,-0.4576454924460446,2,2,False,True,False,False,True,False,False,False
2,-0.22559322262067316,2,2,False,True,False,False,True,False,False,False
3,-0.4894421904510968,2,1,False,False,False,True,False,False,True,False
2,0.18876253192945994,0,4,False,False,True,False,False,False,False,True
3,-0.48977642625839407,2,1,True,False,True,False,False,False,False,True
3,-0.4863374216869257,2,1,False,True,False,True,False,False,True,False
3,-0.3363340021468808,2,2,True,False,False,True,False,False,True,False
3,-0.49237782784290063,2,1,True,False,True,False,False,False,False,True
3,-0.21191774308354583,2,3,False,False,False,True,False,False,True,False
3,-0.29002422161773944,2,2,False,True,False,False,True,False,False,False
3,0.1506737441786005,0,6,False,True,False,False,False,False,True,False
3,-0.4913710934835715,2,1,False,True,False,True,False,False,True,False
1,0.8964967865378598,3,2,False,False,False,False,True,False,False,True
2,-0.12491978668775715,2,2,False,True,False,False,True,False,False,True
1,0.5995101505357573,5,2,False,False,False,True,False,False,True,False
1,0.06635974158478332,2,1,False,True,False,True,False,False,True,True
2,-0.43700743807979686,2,1,False,True,True,False,False,False,False,True
3,-0.5028639729296732,2,1,False,False,False,True,False,False,True,False
2,-0.08968408411123653,0,4,False,True,True,False,False,False,False,True
3,0.2958951755118318,1,8,False,True,False,False,False,False,True,False
3,-0.5028639729296732,2,1,False,False,False,True,False,False,True,False
1,0.962353321387736,2,1,False,True,True,False,False,False,False,True
1,1.0323213593611125,3,2,False,True,False,True,False,False,True,False
3,-0.08666388103324908,0,6,False,True,False,False,False,False,True,False
1,-0.09027201697708476,2,1,False,False,False,True,False,False,True,False
3,-0.3414522396297103,2,3,False,False,False,False,False,False,True,True
2,-0.43700743807979686,2,1,False,True,False,False,True,False,False,True
3,-0.4841568350646187,2,1,False,True,False,True,False,False,True,False
3,-0.4888542575852486,2,7,False,True,True,False,False,False,False,True
3,-0.47400492578514347,2,3,False,True,False,True,False,False,True,False
2,-0.43700743807979686,2,1,False,True,False,True,False,False,True,False
3,0.2958951755118318,2,8,False,True,True,False,False,False,False,False
2,0.8314778546749452,2,1,False,True,False,True,False,False,True,False
3,-0.3573908580066095,2,2,False,False,False,True,False,False,True,False
3,0.48910360681684706,2,1,False,True,False,True,False,False,True,True
3,-0.494391296561559,2,1,False,True,False,True,False,False,True,False
3,-0.4894421904510968,2,1,False,True,False,True,False,False,True,False
3,-0.4863374216869257,2,1,False,True,False,True,False,False,True,False
2,-0.06451572512800753,0,3,False,True,False,False,False,False,True,True
3,-0.397241430886295,2,1,False,True,True,False,False,False,False,True
3,-0.46720946885967163,2,1,False,True,False,True,False,False,True,False
3,-0.45714212526638004,2,1,False,True,False,True,False,False,True,True
3,-0.49162277707340374,2,1,True,False,True,False,False,False,False,True
1,0.29992211294914856,2,1,False,True,False,True,False,False,True,False
2,-0.43700743807979686,2,1,False,True,True,False,False,False,False,True
3,-0.32928686163157667,2,4,False,True,False,False,True,False,False,True
3,0.04370821849987721,2,5,False,True,False,True,False,False,True,False
3,-0.4863374216869257,2,1,False,True,False,True,False,False,True,False
